Exc-L3-5-RORB-HSPB3	Exc-L3-LINC00507-CTXN3	Exc-L3-RORB-CARTPT	Exc-L4-6-RORB-LCN15	Exc-L5-6-FEZF2-RSAD2	Exc-L5-6-THEMIS-GPR21	Exc-L5-RORB-LINC01202	Exc-L6-FEZF2	Exc-L6-THEMIS-LINC00343	Inh-L1-4-VIP-CHRNA2	Inh-L1-5-VIP-KCNJ2	Inh-L3-4-PVALB-HOMER3	Inh-L6-SST-NPY	Inh-LAMP5	Exc-L3-5-FEZF2-ONECUT1	Exc-L2-3-LINC00507-RPL9P17	manifest
6	152	23	24	3	11	37	9	3	48	21	17	38	23	0	0	bagum
6	6	3	8	1	6	0	14	7	5	2	5	2	2	0	0	bamit
160	545	266	289	43	37	197	85	79	194	71	150	126	106	6	0	bilih
54	546	252	234	37	61	195	75	106	166	63	93	37	65	3	0	bivap
52	209	116	106	23	16	149	45	45	86	22	34	40	39	2	0	dabab
65	563	218	303	47	40	284	84	116	223	148	182	158	104	0	0	danag
11	6	3	7	0	6	10	5	6	7	0	3	0	2	0	0	davan
49	408	201	231	38	63	214	137	113	159	95	148	168	105	5	0	dilan
9	19	5	13	3	11	7	8	11	19	9	1	4	10	0	0	dimav
69	286	166	232	28	42	240	55	82	100	20	55	16	48	0	0	dotaj
3	18	0	2	1	4	0	8	10	3	2	1	1	3	0	0	dubig
126	480	322	552	99	96	556	97	100	248	71	209	136	140	6	0	fiman
42	112	46	149	18	43	141	96	65	125	37	42	71	70	3	0	fitid
1	2	2	6	1	1	0	5	2	6	1	4	0	2	0	0	gajob
92	294	91	160	21	39	166	41	72	146	81	35	24	69	0	0	gajuv
6	10	1	5	8	8	1	11	3	29	17	17	15	19	28	0	higin
12	31	0	2	0	0	10	7	5	20	17	0	5	9	0	0	hinuh
27	97	42	71	12	12	81	22	43	27	10	28	13	24	1	0	hofas
60	593	148	164	30	14	310	8	14	307	89	83	101	100	0	10	huvor
44	390	166	163	29	18	213	55	32	166	90	140	103	80	2	0	jinuv
220	789	316	317	69	44	308	108	128	226	58	176	81	95	2	0	kihuz
101	219	87	73	9	39	43	83	90	41	9	16	7	32	4	0	komuj
27	185	32	155	29	51	227	53	44	71	29	83	22	40	2	0	lazur
88	363	179	394	61	68	321	136	170	208	81	210	188	124	6	0	lokoj
142	990	393	547	88	106	517	153	211	273	96	211	130	99	10	0	lokum
28	271	86	140	17	41	166	28	44	98	39	29	14	65	2	0	lonit
35	97	66	96	8	18	79	34	40	28	8	25	7	23	0	0	lubaj
51	99	48	159	10	106	166	116	161	35	15	13	9	17	2	0	mupuz
118	714	267	163	13	15	196	25	57	135	23	76	42	47	3	0	nofuj
67	388	142	210	25	41	279	31	42	73	13	38	30	34	1	0	pojus
77	144	55	189	12	51	80	79	101	38	12	21	13	16	1	0	pokab
182	623	337	305	51	30	200	71	89	212	39	114	102	76	2	0	porab
112	337	201	312	86	259	161	198	228	92	77	112	55	107	8	261	pufum
12	64	9	15	2	17	7	33	28	10	6	2	6	13	0	0	ribop
62	706	209	218	34	51	289	76	98	185	118	94	166	86	1	0	rihov
122	487	271	435	67	85	270	139	160	171	41	186	88	113	4	0	rilak
37	421	154	167	31	24	160	40	43	112	44	79	54	49	2	0	rizan
40	128	32	86	8	30	93	26	58	61	7	19	10	29	1	0	rosip
95	410	79	162	14	48	258	32	70	110	23	44	16	71	0	0	sadoz
51	66	49	58	12	28	45	72	101	40	9	12	13	16	3	0	supoj
26	74	36	94	12	43	61	71	62	32	11	34	20	27	1	0	tafaz
7	14	3	12	1	5	2	11	7	8	2	1	3	1	0	0	tijid
20	265	86	118	19	42	163	49	48	80	24	48	9	39	0	0	tilov
53	301	55	69	10	51	132	76	77	68	49	28	22	44	1	0	timuk
93	499	183	220	36	43	175	59	65	123	70	72	33	57	4	111	tobap
44	506	146	116	14	25	89	27	35	202	152	117	102	78	0	0	topag
11	8	1	4	0	3	2	5	11	0	0	1	3	3	0	0	tumag
9	9	0	0	0	5	1	3	0	6	4	1	1	1	0	0	vikuj
271	1605	553	303	8	6	354	8	38	498	169	227	118	172	0	1	vofap
17	17	2	26	5	9	28	16	16	6	1	2	5	14	0	0	vogum
5	12	5	13	4	8	3	18	4	6	3	8	4	4	1	0	vozol
24	104	51	139	16	11	84	46	36	98	40	69	30	52	3	1	zopuh
43	188	83	126	15	20	113	52	38	85	39	70	39	44	0	0	zuhin
