sample_name,rotation
AlzCV_A27712_1,270
AlzCV_A27712_2,90
AlzCV_A27712_4,270
AlzCV_A16317_1,0
AlzCV_A16317_3,180
AlzCV_A16317_4,180
AlzCV_A27215_3,270
AlzCV_A27215_4,270
AlzCV_A27215_6,90
AlzCV_A17013_1,90
AlzCV_A17013_3,90
AlzCV_A17013_5,90
AlzCV_A9614_1,270
AlzCV_A9614_2,270
AlzCV_A9614_3,90
AlzCV_A1912_1,90
AlzCV_A1912_2,90
AlzCV_A1912_3,270
AlzCV_A28214_2,0
AlzCV_A28214_10,270
AlzCV_A28214_11,0
AlzCV_A40217_1,90
AlzCV_A40217_2,0
AlzCV_A40217_3,270
AlzCV_20185935_1,0
AlzCV_20185935_3,270
AlzCV_20185935_6,180
AlzCV_20150712_2,270
AlzCV_20150712_3,270
AlzCV_20150712_4,270
AlzCV_19920035_2,180
AlzCV_19920035_4,180
AlzCV_19920035_5,90
AlzCV_19910006_1,90
AlzCV_19910006_4,90
AlzCV_19910006_7,90
AlzCV_19910334_2,90
AlzCV_19910334_3,90
AlzCV_19910334_4,180
AlzCV_19920077_2,0
AlzCV_19920077_3,90
AlzCV_19920077_5,0
AlzCV_19920200_1,270
AlzCV_19920200_2,0
AlzCV_19920200_3,180
AlzCV_19930154_1,90
AlzCV_19930154_2,0
AlzCV_19930154_3,270
AlzCV_19930222_1,0
AlzCV_19930222_3,270
AlzCV_19930222_4,0
AlzCV_20110137_2,180
AlzCV_20110137_3,180
AlzCV_20110137_6,90
AlzTREM2_19891093_2,0
AlzTREM2_19891093_3,180
AlzTREM2_19891093_4,90
AlzTREM2_A6413_2,0
AlzTREM2_A6413_4,270
AlzTREM2_A6413_5,0
AlzTREM2_A7405_1,0
AlzTREM2_A7405_6,0
AlzTREM2_A7405_7,270
AlzTREM2_A21005_1,180
AlzTREM2_A21005_2,270
AlzTREM2_A21005_3,0
AlzTREM2_A22011_1,270
AlzTREM2_A22011_2,90
AlzTREM2_A22011_3,270
AlzTREM2_P309_1,180
AlzTREM2_P309_2,270
AlzTREM2_P309_3,0
AlzTREM2_20130325_1,0
AlzTREM2_20130325_2,180
AlzTREM2_20130325_3,0
AlzTREM2_B509962_1,270
AlzTREM2_B509962_2,270
AlzTREM2_B509962_3,270
AlzTREM2_A16604_1,270
AlzTREM2_A16604_2,270
AlzTREM2_A16604_3,270
AlzTREM2_A13812_1,270
AlzTREM2_A13812_2,270
AlzTREM2_A13812_3,0
AlzTREM2_NP12162_1,270
AlzTREM2_NP12162_2,90
AlzTREM2_NP12162_3,90
AlzTREM2_NP14128_1,0
AlzTREM2_NP14128_2,270
AlzTREM2_NP14128_3,90
AlzTREM2_19920194_2,270
AlzTREM2_19920194_4,90
AlzTREM2_19920194_8,270
CtrlTREM2_19960064_2,180
CtrlTREM2_19960064_4,180
CtrlTREM2_19960064_7,90
CtrlCV_A11517_1,90
CtrlCV_A11517_3,270
CtrlCV_A11517_4,0
CtrlCV_A29716_1,270
CtrlCV_A29716_2,90
CtrlCV_A29716_5,0
CtrlCV_A35416_7,180
CtrlCV_A35416_10,0
CtrlCV_A35416_12,180
CtrlCV_A12711_1,270
CtrlCV_A12711_2,90
CtrlCV_A12711_3,270
CtrlCV_A5311_1,270
CtrlCV_A5311_2,90
CtrlCV_A5311_3,90
CtrlCV_A5114_1,270
CtrlCV_A5114_2,90
CtrlCV_A5114_3,180
CtrlTREM2_NP13012_1,90
CtrlTREM2_NP13012_2,270
CtrlTREM2_NP13012_3,0
CtrlTREM2_DPM1644_1,90
CtrlTREM2_DPM1644_4,0
CtrlTREM2_DPM1644_5,180
CtrlTREM2_C1993_2,270
CtrlTREM2_C1993_3,0
CtrlTREM2_C1993_4,270
CtrlTREM2_A2307_1,0
CtrlTREM2_A2307_2,0
CtrlTREM2_A2307_3,0
CtrlTREM2_A31911_2,0
CtrlTREM2_A31911_5,90
CtrlTREM2_A31911_6,0
